url,type
http://br-icloud.com.br/,phishing
https://mp3raid.com/,benign
https://bopsecrets.org/,benign
http://www.garage-pirenne.be/,defacement
http://adventure-nicaragua.net/,defacement
https://buzzfil.net/,benign
https://espn.go.com/,benign
https://yourbittorrent.com/,benign
http://www.pashminaonline.com/,defacement
https://allmusic.com/,benign
https://corporationwiki.com/,benign
http://www.ikenmijnkunst.nl/,defacement
https://myspace.com/,benign
http://www.lebensmittel-ueberwachung.de/,defacement
http://www.szabadmunkaero.hu/,defacement
http://larcadelcarnevale.com/,defacement
https://quickfacts.census.gov/,benign
https://nugget.ca/,benign
https://uk.linkedin.com/,benign
http://www.vnic.co/,defacement
https://baseball-reference.com/,benign
http://signin.eby.de.zukruygxctzmmqi.civpro.co.za/,phishing
https://192.com/,benign
https://nytimes.com/,benign
https://escholarship.org/,benign
https://songfacts.com/,benign
https://casamanana.org/,benign
https://hollywoodlife.com/,benign
http://www.marketingbyinternet.com/,phishing
https://en.wikipedia.org/,benign
https://soaps.sheknows.com/,benign
https://perfectpeople.net/,benign
https://media.caltech.edu/,benign
https://wikiobits.com/,benign
https://vanderbilt.rivals.com/,benign
http://peluqueriadeautor.com/,defacement
https://movies.yahoo.com/,benign
https://cyndislist.com/,benign
http://www.824555.com/,malware
http://www.raci.it/,defacement
http://docs.google.com/,phishing
https://psychology.wikia.com/,benign
https://info.centriq.com/,benign
https://articles.baltimoresun.com/,benign
https://infinitysw.com/,benign
https://strawberrycreekgardens.com/,benign
http://earth-sure.com/,defacement
https://spoke.com/,benign
https://wordsmith.org/,benign
https://interpark.com/,benign
http://www.newtec.ac.uk/,defacement
http://www.kingsmillshotel.com/,defacement
https://almanac.logos.com/,benign
https://gaming.wikia.com/,benign
https://ceu.hu/,benign
https://registry.weddingchannel.com/,benign
https://linkedin.com/,benign
https://sunshinemills.com/,benign
https://agoda.com/,benign
https://ctv.ca/,benign
http://www.approvi.com.br/,defacement
http://www.shaborooz.ir/,defacement
https://veoox.com/,benign
https://chuckwalkertrio.blogspot.com/,benign
https://aerosolesshoes.org/,benign
http://www.juventudelirica.com.br/,defacement
http://www.myenrg.com/,defacement
https://recipelink.com/,benign
http://www.musimagen.com/,defacement
https://ideas.repec.org/,benign
https://peopleaz.org/,benign
https://orensamtraktrip.wordpress.com/,benign
http://retajconsultancy.com/,phishing
https://alexa.com/,benign
https://jpopasia.com/,benign
https://kitsapsun.com/,benign
